groupKey,count,completed,bestCandidate,bestValBpb,medianValBpb,meanValBpb,bestStepAvgMs,bestInt8SubmissionBytes,bestArtifactHeadroomBytes
softcap,1,1,text_diffusion_proxy,3.75282305,3.75282305,3.75282305,967.02,612599,15587957
text_diffusion_proxy,1,1,text_diffusion_proxy,3.75282305,3.75282305,3.75282305,967.02,612599,15587957
untied_head,1,1,text_diffusion_proxy,3.75282305,3.75282305,3.75282305,967.02,612599,15587957
capacity,1,1,moe_proxy_wide_mlp,4.0461647,4.0461647,4.0461647,1698.04,770207,15589604
moe_proxy,1,1,moe_proxy_wide_mlp,4.0461647,4.0461647,4.0461647,1698.04,770207,15589604
wide_mlp,1,1,moe_proxy_wide_mlp,4.0461647,4.0461647,4.0461647,1698.04,770207,15589604
long_context,2,2,qk_rmsnorm_longctx,4.06662657,4.069623010000001,4.069623010000001,3702.94,544508,15693438
qk_norm,1,1,qk_rmsnorm_longctx,4.06662657,4.06662657,4.06662657,3702.94,544508,15693438
stability,1,1,qk_rmsnorm_longctx,4.06662657,4.06662657,4.06662657,3702.94,544508,15693438
depth_recurrence,1,1,depth_recurrence_loop45,4.06764226,4.06764226,4.06764226,596.83,544440,15693438
parameter_sharing,1,1,depth_recurrence_loop45,4.06764226,4.06764226,4.06764226,596.83,544440,15693438
universal_transformer_proxy,1,1,depth_recurrence_loop45,4.06764226,4.06764226,4.06764226,596.83,544440,15693438
artifact_size,1,1,ar_nonquant_reference,4.07025636,4.07025636,4.07025636,1176.56,544599,15693438
autoregressive,1,1,ar_baseline_int8,4.07025636,4.07025636,4.07025636,735.05,544599,15693438
control,2,2,ar_baseline_int8,4.07025636,4.07025636,4.07025636,735.05,544599,15693438
deep,1,1,narrow_deep,4.07025636,4.07025636,4.07025636,1046.0,544599,15693438
int8_artifact,1,1,ar_baseline_int8,4.07025636,4.07025636,4.07025636,735.05,544599,15693438
narrow,1,1,narrow_deep,4.07025636,4.07025636,4.07025636,1046.0,544599,15693438
raw_checkpoint,1,1,ar_nonquant_reference,4.07025636,4.07025636,4.07025636,1176.56,544599,15693438
shallow,1,1,wide_shallow,4.07025636,4.07025636,4.07025636,747.0,544599,15693438
shape,2,2,narrow_deep,4.07025636,4.07025636,4.07025636,1046.0,544599,15693438
wide,1,1,wide_shallow,4.07025636,4.07025636,4.07025636,747.0,544599,15693438
encoder_decoder,1,1,jepa_style_encoder_decoder_proxy,4.07036567,4.07036567,4.07036567,806.96,544603,15693438
jepa_proxy,1,1,jepa_style_encoder_decoder_proxy,4.07036567,4.07036567,4.07036567,806.96,544603,15693438
skip_reuse,1,1,jepa_style_encoder_decoder_proxy,4.07036567,4.07036567,4.07036567,806.96,544603,15693438
small_kv,1,1,ssm_proxy_linear_attention_budget,4.07261945,4.07261945,4.07261945,1196.0,544462,15693438
state_space_proxy,1,1,ssm_proxy_linear_attention_budget,4.07261945,4.07261945,4.07261945,1196.0,544462,15693438
leaderboard_motif,1,1,parallel_residual_qk5,4.07463801,4.07463801,4.07463801,1663.67,555086,15693438
parallel_residual,1,1,parallel_residual_qk5,4.07463801,4.07463801,4.07463801,1663.67,555086,15693438
qk_gain,1,1,parallel_residual_qk5,4.07463801,4.07463801,4.07463801,1663.67,555086,15693438
activation_clamp,1,1,swiglu_clamped,4.0911505,4.0911505,4.0911505,1600.32,662360,15693438
mlp,1,1,swiglu_clamped,4.0911505,4.0911505,4.0911505,1600.32,662360,15693438
swiglu,1,1,swiglu_clamped,4.0911505,4.0911505,4.0911505,1600.32,662360,15693438
